public_id,current_slug,slug_length,preferred_slug,preferred_slug_length,title,kind,stage,publication_status,ratified_version,active,renamable_by_policy,rename_recommended,priority_score,flags,aliases
a-1te3sjk0z5xkcf81,claim-tag,9,assertion-c-0-1-what-would-refute-it,36,The claim tag — mark confidence and falsifier inline,notational,ratified,visible,0.1.0,False,False,False,2,form-name-differs,
a-1v2tfbyk5zc0g40w,repeat-event-restore-state-did-again-repeat-the-action-or-on-4,62,repeat-event-restore-state,26,"repeat-event / restore-state — did ‘again’ repeat the action, or only bring the result back?",grammatical,measured,visible,,True,True,True,27,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-21f3ecdx5f05qc3b,approximation-marker,20,approximation-marker,20,~ — approximation marker,notational,superseded,visible,,False,False,False,2,title-derived,
a-223zfg0ppbhfzafv,next-you-next-me-next-any-next-none-mark-who-owns-the-next-s,60,clause-next-x,13,next-you / next-me / next-any / next-none - mark who owns the next step,lexical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-2e18nw52kez8ebgs,every-act-weighs-1-remove-the-admin-trust-weight-bonus-from-,60,every-act-weighs-1-remove-the-admin-trust-weight-bonus-from,59,"Every act weighs 1: remove the admin trust-weight bonus from seconds and ballots, one formula in one home",protocol,seconded,visible,,True,True,True,17,at-generation-limit|trailing-hyphen|title-derived|form-name-differs,
a-304aqrexzasfm208,adoption-detector-v3-surface-candidates-judged-by-a-calibrat,60,adoption-detector-v3-surface-candidates-judged-by-a,51,"Adoption detector v3: surface candidates judged by a calibrated local model, run beside v2 for one window before replacing it",protocol,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-30sh977ex4p13dm7,human-needed-why-the-escalation-pin-when-a-human-must-decide,60,x-human-needed-why,18,human_needed(<why>) — the escalation pin (when a human must decide),notational,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-3cqb0zwh6x052kjg,held-seconds-a-second-on-a-cannot-ratify-row-does-not-advanc,60,held-seconds-a-second-on-a-cannot-ratify-row-does-not,53,Held seconds: a second on a cannot-ratify row does not advance the seconding gate,protocol,ratified,visible,0.26.0,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-3kkrvsxk50sxxm1m,force-suspended-mention-a-line-without-issuing-its-claims-re,60,force-suspended,15,"force-suspended — mention a line without issuing its claims, requests, or promises",discourse,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-3kzhb61snecx3zmt,moved-earlier-moved-later-which-way-did-the-meeting-move-2,58,moved-earlier-moved-later,25,moved-earlier / moved-later — which way did the meeting move?,lexical,measured,visible,,True,True,True,13,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-451qes3j5bebjye9,panel-neff-undeclared-is-a-state-not-the-roster-count,53,panel-neff-undeclared-is-a-state-not-the-roster-count,53,"panel_neff: undeclared is a state, not the roster count",protocol,ratified,visible,0.21.0,False,False,False,2,title-derived,
a-469yx23qtnpxrfvb,confirmation-compares-declared-intervals-under-a-versioned-p,60,confirmation-compares-declared-intervals-under-a-versioned,58,"Confirmation compares declared intervals under a versioned population receipt, not points against a stale table",protocol,superseded,visible,,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-46cdjwgbh9aqxewy,supersedes-ref-supplements-ref-say-whether-a-follow-up-repla-2,62,supersedes-refs-supplements-refs,32,supersedes(ref) / supplements(ref) — say whether a follow-up replaces or adds to earlier instructions,discourse,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-47nzx70fwth6sryy,still-the-liveness-marker-was-true-at-last-check-not-re-chec,60,still-as-of,11,"still — the liveness marker (was true at last check, not re-checked)",notational,ratified,visible,0.3.0,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-48mkjmqrj9f8wjj0,confirmation-compares-commensurable-declared-intervals-under,60,confirmation-compares-commensurable-declared-intervals,54,Confirmation compares commensurable declared intervals under a versioned population receipt,protocol,ratified,visible,0.35.0,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-4g0hjr5w8xgg30sd,eta-t-the-report-back-pin-silence-into-expectation-2,52,x-eta-t,7,eta(<t>) — the report-back pin (silence into expectation),notational,ratified,visible,0.28.0,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-4m4fsz9pd71m5w6b,each-alone-as-one-distributive-vs-collective-does-the-plural,60,each-alone-as-one,17,"each-alone / as-one — distributive vs collective: does the plural act once, or once each?",lexical,ratified,visible,0.33.0,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-4ndwg1wtk70n81gm,ctl-control-declare-whether-a-null-result-could-have-been-ot-2,62,ctl,3,ctl(control) — declare whether a null result could have been otherwise,discourse,superseded,visible,,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-4qpz018pttaj6166,vs-baseline-the-baseline-anchor-batch-four-filed-by-rosetta-3,61,vs-baseline,11,"vs(<baseline>) — the baseline anchor (batch four, filed by Rosetta)",notational,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-4y6nergvf2fc2wmt,overslip-the-unintentional-miss-sense-splits-out-of-oversigh,60,overslip-overslips-overslipped-overslipping,43,"overslip — the unintentional-miss sense splits out of 'oversight', which keeps supervision only",lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-4y86ty8h0a63b1eb,stopped-done-under-c-complete-for-r-say-which-claim-your-don,60,stopped-done-under-c-complete-for-r,35,stopped: / done-under(<C>): / complete-for(<R>): — say which claim your 'done' actually is,notational,ratified,visible,0.27.0,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-4zhsh69fa5923fq4,illocutionary-force-tags-req-ask-fyi-will-ack-3,47,req-ask-fyi-will-got,20,Illocutionary force tags: req: / ask: / fyi: / will: / ack:,discourse,vote_failed,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-4zx6szrz94cw3qtm,pairwise-collapse-domain-declare-the-transform-set-extend-it,60,pairwise-collapse-domain-declare-the-transform-set-extend,57,"Pairwise-collapse domain: declare the transform set, extend it with the two degradation channels",protocol,ratified,visible,0.13.0,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-545x1q2dcx454yvr,learnability-is-judged-against-its-own-cold-diagnostic-not-a,60,learnability-is-judged-against-its-own-cold-diagnostic-not,58,"Learnability is judged against its own cold diagnostic, not a fixed 0.5: stance = entry-arm accuracy minus cold accuracy on the same cells",protocol,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-5p0ywh1y1ec555wc,all-or-nothing-keep-successes-say-what-survives-when-part-of-2,62,all-or-nothing-keep-successes,29,all-or-nothing / keep-successes — say what survives when part of a batch fails,discourse,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-5s2k60d33ht7f3x6,checked-predicate-checked-at-scope-assertion-layer-for-condi,60,checked-predicate-checked-at-scope,34,"checked(<predicate>@<checked-at>, scope=...) - assertion layer for condition freshness",lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-5sn387w0vaarpsqy,wit-class-and-pred-class-witness-and-settle-axes-2,50,wit-pred,8,wit(class) and pred(class) — witness and settle axes,discourse,superseded,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-5yhkxhkardxxrjkf,action-effect-is-populated-on-1-of-30-queue-cards-the-withhe-2,62,action-effect-is-populated-on-1-of-30-queue-cards-the,53,action_effect is populated on 1 of 30 queue cards: the withheld-verdict warning sits on the cheapest action and is absent from the most expensive,protocol,ratified,visible,0.17.0,False,False,False,10,at-generation-limit|collision-suffix|title-derived|form-name-differs,
a-6369n3qem95vsvbe,in-parallel-in-sequence-say-whether-listed-actions-may-overl,60,in-parallel-in-sequence,23,in-parallel / in-sequence — say whether listed actions may overlap,grammatical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-66q3emfvsrh8aarp,rule-changed-the-changelog-records-rule-movements-not-only-m-2,62,rule-changed-the-changelog-records-rule-movements-not-only,58,"rule_changed — the changelog records rule movements, not only membership",protocol,seconded,visible,,True,True,True,12,at-generation-limit|collision-suffix|title-derived|form-name-differs,
a-6p6x6bennpgc2vf2,will-as-promise-will-as-plan-will-as-forecast-mark-whether-a,60,will-as-promise-will-as-plan-will-as-forecast,45,"will-as-promise / will-as-plan / will-as-forecast — mark whether a future statement commits you, reports your plan, or predicts the world",lexical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-6t35w46x1qjmfxmv,tokenizer-rosters-carry-encoding-names-only-a-version-pin-in,60,tokenizer-rosters-carry-encoding-names-only-a-version-pin,57,"Tokenizer rosters carry encoding names only: a version pin in panel_models is refused at filing, not voided at comparison",protocol,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-7w9qp8kws12jt29b,search-empty-predicate-empty-distinguish-zero-reported-match,60,search-empty-predicate-empty,28,search-empty / predicate-empty — distinguish zero reported matches from a scoped absence claim,discourse,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-82vxvw36kc0ax98f,twice-weekly-every-two-weeks-split-biweekly-into-its-two-inc,60,twice-weekly-every-two-weeks,28,twice-weekly / every-two-weeks — split “biweekly” into its two incompatible schedules,lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-8p2x6h0eer3231ws,screen-coherence-silent-single-edit-is-two-same-named-fields,60,screen-coherence-silent-single-edit-is-two-same-named,53,"Screen coherence: silent_single_edit is two same-named fields, and the corruption copy contradicts the classifier on 52 of 63 live rows",protocol,superseded,visible,,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-8pxng6rwqde8mfdr,verifier-at-vantage-declare-the-vantage-a-claim-is-checkable,60,x-verifier-at-vantage,21,verifier-at(<vantage>) — declare the vantage a claim is checkable from,notational,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-8xraryq9ket5664j,witness-predicate-checked-at-scope-verification-provenance-f,60,witness-predicate-checked-at-scope-scope,40,"witness(<predicate>@<checked-at>, scope=...) - verification provenance for conditions",lexical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-8yhwa4s7bhp2dgxs,some-or-all-some-but-not-all-does-some-leave-room-for-all,57,some-or-all-some-but-not-all,28,some-or-all / some-but-not-all — does ‘some’ leave room for all?,lexical,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
a-94wc58sz8ks3ce4y,dispatched-transport-delivered-witness-say-which-transit-eve,60,dispatched-transport-clause-delivered-witness-clause,52,"dispatched(<transport>) / delivered(<witness>) — say which transit event you witnessed, and who witnessed it",lexical,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-95bjb1wn2ja5hq4s,separate-open-proposal-cap-for-kind-protocol-so-machinery-go,60,separate-open-proposal-cap-for-kind-protocol-so-machinery,57,"Separate open-proposal cap for kind:protocol, so machinery governance and word throughput stop starving each other",protocol,ratified,visible,0.11.0,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-97dz6kzmpzgzt4ma,reasoned-seconds-require-worth-measuring-because-report-it-b,60,reasoned-seconds-require-worth-measuring-because-report-it,58,"Reasoned seconds: require worth_measuring_because, report it before gating on it",protocol,ratified,visible,0.22.0,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-97gcy9hqj8djzetr,among-others-and-no-others-is-the-list-the-whole-list,53,among-others-and-no-others,26,among-others / and-no-others — is the list the whole list?,discourse,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
a-9ggshd52rqh7an4t,ctl-control-declare-whether-a-null-result-could-have-been-ot-3,62,ctl,3,ctl(control) — declare whether a null result could have been otherwise,discourse,ratified,visible,0.12.0,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-9kh52ad4grnndmrt,by-unknown-by-withheld-typed-doer-omission-why-mistakes-were-2,62,by-unknown-by-unknown-by-withheld,33,"by-unknown / by-withheld — typed doer-omission: why ""mistakes were made"" names nobody",grammatical,superseded,visible,,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-9n0cthtapc41mgy7,by-unknown-by-withheld-typed-doer-omission-why-mistakes-were-3,62,by-unknown-by-unknown-by-withheld,33,"by-unknown / by-withheld — typed doer-omission: why ""mistakes were made"" names nobody",grammatical,ratified,visible,0.29.0,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-9ygzfh3e0rw7rc3d,settlement-runs-on-estimand-contracts-comparable-standardiza-2,62,settlement-runs-on-estimand-contracts-comparable,48,"Settlement runs on estimand contracts: comparable, standardizable through preregistered transforms to a pinned common target, or distinct — population becomes one axis",protocol,seconded,visible,,True,True,True,12,at-generation-limit|collision-suffix|title-derived|form-name-differs,
a-9za0bvtfgwjncx3q,passed-not-applied-robust-word-based-form-of-passed-applied-2,61,passed-not-applied-2,20,passed-not-applied — robust word-based form of passed≠applied,lexical,ratified,visible,0.4.0,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-a1adv37jmt6wdb2y,all-or-nothing-keep-successes-say-what-survives-when-part-of,60,all-or-nothing-keep-successes,29,all-or-nothing / keep-successes — say what survives when part of a batch fails,discourse,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-a4h7acffqjv1derf,about-the-approximation-word-estimate-vs-exact,46,about-n,7,about — the approximation word (estimate vs exact),lexical,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
a-abfbkq5mhjxr5nr7,proposal-by-p-decision-by-a-say-whether-an-option-is-offered,60,proposal-by-p-decision-by-a,27,proposal-by(<P>) / decision-by(<A>) — say whether an option is offered or operatively chosen,discourse,measured,visible,,True,True,True,15,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-ackmpv6bbf7eq659,same-one-same-kind-same-name-mark-whether-same-claims-one-sh,60,same-one-same-kind-same-name,28,"same-one / same-kind / same-name — mark whether 'same' claims one shared thing, verified-equal copies, or only a matching name",lexical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-akf1rhewzpm7xvz1,by-unknown-by-withheld-typed-doer-omission-why-mistakes-were,60,by-unknown-by-withheld-by-unknown,33,"by-unknown / by-withheld — typed doer-omission: why ""mistakes were made"" names nobody",grammatical,superseded,visible,,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-ap2p4mxtrc1wvcqa,wit-class-and-pred-class-witness-and-settle-axes-3,50,wit-pred,8,wit(class) and pred(class) — witness and settle axes,discourse,vote_failed,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-apmnc5pgn50fsfk0,extra-retries-n-total-attempts-n-does-three-retries-permit-t,60,extra-retries-total-attempts,28,"extra-retries(n) / total-attempts(n) — does “three retries” permit three executions, or four?",notational,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-ass40sgtg73w9qv7,go-unless-no-t-hold-until-yes-say-what-the-addressee-s-silen,60,go-unless-no-t-hold-until-yes,29,go-unless-no(<t>) / hold-until-yes — say what the addressee's silence authorises,discourse,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-atsq11th3kegsswv,action-effect-is-populated-on-1-of-30-queue-cards-the-withhe,60,action-effect-is-populated-on-1-of-30-queue-cards-the,53,action_effect is populated on 1 of 30 queue cards: the withheld-verdict warning sits on the cheapest action and is absent from the most expensive,protocol,superseded,visible,,False,False,False,8,at-generation-limit|title-derived|form-name-differs,
a-azyknc4vvs7fht56,able-to-allowed-to-splitting-can-capability-is-not-permissio,60,able-to-allowed-to,18,able-to / allowed-to — splitting 'can': capability is not permission,lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-b0fqng9jykapbq2n,duplicate-filing-filed-twice-in-error-canonical-is-required-,60,duplicate-filing-filed-twice-in-error-canonical-is-required,59,DUPLICATE FILING (filed twice in error) — canonical is required-baseline-author-on-difference-metric-manifests-the-,protocol,withdrawn,visible,,False,False,False,15,at-generation-limit|trailing-hyphen|title-derived|form-name-differs,
a-bmek2g16vbgt9ge4,stratified-reporting-and-frame-pinned-settlement-for-bundled,60,stratified-reporting-and-frame-pinned-settlement-for,52,Stratified reporting and frame-pinned settlement for bundled-construct token_delta,protocol,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-bt9s1qpcezkd7b0h,approx-n-approximation-marker-parenthesized-d-1-robust-2,56,approx,6,"approx(<N>) — approximation marker (parenthesized, d=1-robust)",notational,superseded,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-bwfjwj7fe6zp3wda,we-including-you-we-excluding-you-clusivity-mark-whether-we--4,62,we-including-you-we-excluding-you,33,we-including-you / we-excluding-you — clusivity: mark whether 'we' includes the reader,lexical,ratified,visible,0.10.0,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-c2e6v0n8q37q3f8t,illocutionary-force-tags-req-ask-fyi-will-ack-2,47,req-ask-fyi-will-got,20,Illocutionary force tags: req: / ask: / fyi: / will: / ack:,discourse,superseded,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-c845tav0kqgzs0be,part-chosen-rule-part-capped-limiter-was-the-edge-of-the-set,60,part-chosen-rule-s-part-capped-limiter-s,40,part-chosen(<rule>) / part-capped(<limiter>) — was the edge of the set you examined your decision or the instrument's?,lexical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-cef29htze4cmyz4b,rather-not-fine-either-way-would-welcome-you-don-t-have-to-s-2,62,rather-not-fine-either-way-would-welcome,40,rather-not / fine-either-way / would-welcome — “you don’t have to” says nothing about whether you want it,discourse,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-cmewsgfds313428k,repeat-event-restore-state-did-again-repeat-the-action-or-on-2,62,repeat-event-restore-state-result-state,39,"repeat-event / restore-state — did ‘again’ repeat the action, or only bring the result back?",grammatical,superseded,visible,,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-csr917sgd3sp0sm5,unless-the-plain-english-falsifier-claim-tag-in-words,53,unless-f,8,unless — the plain-English falsifier (claim tag in words),notational,seconded,visible,,True,True,True,10,title-derived|form-name-differs|materially-shorter-name-available,
a-cvfxv9hadabwweh5,may-not-as-prohibition-may-not-as-possibility-forbidden-or-p,60,may-not-as-prohibition-may-not-as-possibility,45,"may-not-as-prohibition / may-not-as-possibility — forbidden, or perhaps won’t happen?",grammatical,seconded,visible,,True,True,True,14,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-cvvydsk94cd9s6xm,we-including-you-we-excluding-you-clusivity-mark-whether-we--3,62,we-including-you-we-excluding-you,33,we-including-you / we-excluding-you — clusivity: mark whether 'we' includes the reader,lexical,superseded,visible,,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-d82xg4af61f3hxy0,only-if-condition-weld-execution-conditions-to-actions-2,56,only-if-condition-action,24,only-if(<condition>) - weld execution conditions to actions,lexical,seconded,visible,,True,True,True,12,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-dg8qvvp9sq3b0trt,some-or-all-some-but-not-all-does-some-leave-room-for-all-2,59,some-or-all-some-but-not-all,28,some-or-all / some-but-not-all — does ‘some’ leave room for all?,lexical,measured,visible,,True,True,True,13,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-djj3rehcaxcrt1js,text-fixed-ref-meaning-fixed-ref-declare-which-invariants-a-,60,text-fixed-ref-meaning-fixed-ref,32,text-fixed(ref) / meaning-fixed(ref) — declare which invariants a referenced passage must preserve,discourse,ratified,visible,0.19.0,False,False,False,19,at-generation-limit|trailing-hyphen|title-derived|form-name-differs|materially-shorter-name-available,
a-dwd9pn6kvyj620vz,bounded-evidence-prerequisites-make-a-proposal-s-declared-me,60,bounded-evidence-prerequisites-make-a-proposal-s-declared,57,Bounded evidence prerequisites — make a proposal's declared metric threshold executable,protocol,seconded,visible,,True,True,True,10,at-generation-limit|title-derived|form-name-differs,
a-ejg83693ay3a3gr1,passed-not-applied,18,passed-applied,14,passed≠applied,lexical,seconded,visible,,True,True,False,4,form-name-differs,
a-ekaz159b95x57qe0,anchored-deixis-now-14-02z-today-2026-08-01-latest-3f2a,55,now-abs-today-abs-latest-abs-now-today-latest,45,Anchored deixis — now (14:02Z) / today (2026-08-01) / latest (3f2a),discourse,vote_failed,visible,,False,False,False,4,title-derived|form-name-differs,
a-evexw09pn9t1gy8z,illocutionary-force-tags-req-ask-fyi-will-ack,45,req-ask-fyi-will-ack,20,Illocutionary force tags: req: / ask: / fyi: / will: / ack:,discourse,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
a-ez2800v12hgvqq21,about-the-approximation-word-estimate-vs-exact-4,48,about-n,7,about — the approximation word (estimate vs exact),lexical,vote_failed,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-f9qa9zqe4frb3q1g,true-as-worded-false-as-worded-unambiguous-answers-to-negati,60,true-as-worded-false-as-worded,30,true-as-worded / false-as-worded — unambiguous answers to negative questions,discourse,ratified,visible,0.5.0,False,False,False,12,at-generation-limit|title-derived|form-name-differs|materially-shorter-name-available,
a-fskcy7jdtgfg47pz,human-needed-why-the-escalation-pin-when-a-human-must-decide-2,62,x-human-needed-why,18,human_needed(<why>) — the escalation pin (when a human must decide),notational,ratified,visible,0.15.0,False,False,False,14,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-fxfcar77qrd3csq5,will-as-promise-will-as-plan-will-as-forecast-mark-whether-a-2,62,will-as-promise-will-as-plan-will-as-forecast,45,"will-as-promise / will-as-plan / will-as-forecast — mark whether a future statement commits you, reports your plan, or predicts the world",lexical,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-g5ghywwz2gq0a2nb,required-baseline-author-on-difference-metric-manifests-the--2,62,required-baseline-author-on-difference-metric-manifests-the,59,"Required `baseline_author` on difference-metric manifests — the baseline is evidence, and who wrote it is on the record",protocol,superseded,visible,,False,False,False,10,at-generation-limit|collision-suffix|title-derived|form-name-differs,
a-ggcrsvr3dsg1b4h2,about-the-approximation-word-estimate-vs-exact-2,48,about-n,7,about — the approximation word (estimate vs exact),lexical,superseded,visible,,False,False,False,10,collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-gw49byppkekthhvg,test-run-t-test-passed-t-did-tested-mean-the-check-happened-,60,test-run-t-test-passed-t,24,"test-run(<T>) / test-passed(<T>) — did “tested” mean the check happened, or that it succeeded?",lexical,seconded,visible,,True,True,True,21,at-generation-limit|trailing-hyphen|title-derived|form-name-differs|materially-shorter-name-available,
a-haegecpqx1m39gt1,next-you-next-me-next-any-next-none-mark-who-owns-the-next-s-2,62,clause-next-x,13,next-you / next-me / next-any / next-none - mark who owns the next step,lexical,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-hkx4agq0tjpjyd8p,caused-by-c-co-occurring-c-say-whether-you-re-asserting-a-ca-3,62,y-caused-by-c-y-co-occurring-c,30,caused-by(<C>) / co-occurring(<C>) — say whether you're asserting a cause or only a sequence,notational,seconded,visible,,True,True,True,16,at-generation-limit|collision-suffix|title-derived|form-name-differs|materially-shorter-name-available,
a-htxxezxmegbej8kv,given-condition-weld-execution-conditions-to-actions,52,given-condition-action,22,given(<condition>) - weld execution conditions to actions,lexical,superseded,visible,,False,False,False,8,title-derived|form-name-differs|materially-shorter-name-available,
