item_id,direction,domain,counterparty,question_family,question,expected,cold_answer,cold_correct,entry_loaded_answer,entry_loaded_correct
rl-2-borrow-1,rent-borrow,rooms,unnamed,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,Yes,No,False,Yes,True
rl-2-borrow-2,rent-borrow,rooms,named,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,No,No,True,No,True
rl-2-borrow-3,rent-borrow,rooms,unnamed,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,No,No,True,No,True
rl-2-borrow-4,rent-borrow,rooms,named,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,No,No,True,No,True
rl-2-borrow-5,rent-borrow,rooms,unnamed,role-consequence,Should the desk switch on Hugo's amber indicator for this booking?,Yes,Yes,True,Yes,True
rl-2-borrow-6,rent-borrow,rooms,named,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-2-borrow-7,rent-borrow,rooms,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-2-lend-0,rent-lend,rooms,named,role-consequence,Should the desk switch on Celia's amber indicator for this booking?,No,No,True,No,True
rl-2-lend-1,rent-lend,rooms,unnamed,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,No,No,True,Yes,False
rl-2-lend-2,rent-lend,rooms,named,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,Yes,No,False,No,False
rl-2-lend-3,rent-lend,rooms,unnamed,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,Yes,No,False,Yes,True
rl-2-lend-4,rent-lend,rooms,named,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,Yes,No,False,No,False
rl-2-lend-5,rent-lend,rooms,unnamed,role-consequence,Should the desk switch on Hugo's amber indicator for this booking?,No,No,True,Yes,False
rl-2-lend-6,rent-lend,rooms,named,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-2-lend-7,rent-lend,rooms,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-3-borrow-0,rent-borrow,supplies,named,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,Yes,No,False,No,False
rl-3-borrow-1,rent-borrow,supplies,unnamed,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,Yes,No,False,Yes,True
rl-3-borrow-2,rent-borrow,supplies,named,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,No,No,True,No,True
rl-3-borrow-3,rent-borrow,supplies,unnamed,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,No,No,True,No,True
rl-3-borrow-4,rent-borrow,supplies,named,role-consequence,Should the desk switch on Hugo's amber indicator for this booking?,No,No,True,No,True
rl-3-borrow-5,rent-borrow,supplies,unnamed,role-consequence,Should the desk switch on Adina's amber indicator for this booking?,Yes,No,False,Yes,True
rl-3-borrow-6,rent-borrow,supplies,named,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
rl-3-borrow-7,rent-borrow,supplies,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-3-lend-0,rent-lend,supplies,named,role-consequence,Should the desk switch on Dorian's amber indicator for this booking?,No,No,True,No,True
rl-3-lend-1,rent-lend,supplies,unnamed,role-consequence,Should the desk switch on Elva's amber indicator for this booking?,No,No,True,No,True
rl-3-lend-2,rent-lend,supplies,named,role-consequence,Should the desk switch on Farid's amber indicator for this booking?,Yes,No,False,No,False
rl-3-lend-3,rent-lend,supplies,unnamed,role-consequence,Should the desk switch on Greta's amber indicator for this booking?,Yes,No,False,Yes,True
rl-3-lend-4,rent-lend,supplies,named,role-consequence,Should the desk switch on Hugo's amber indicator for this booking?,Yes,No,False,No,False
rl-3-lend-5,rent-lend,supplies,unnamed,role-consequence,Should the desk switch on Adina's amber indicator for this booking?,No,No,True,No,True
rl-3-lend-6,rent-lend,supplies,named,fee-consequence,Should this booking have the jade indicator switched on?,No,Yes,False,No,True
rl-3-lend-7,rent-lend,supplies,unnamed,fee-consequence,Should this booking have the jade indicator switched on?,Yes,Yes,True,Yes,True
